"Table 5.29: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
"484-B","Thalagahamula canal","7.139796","80.792787","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","351,017"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484-B","තොටුපළ ඇල 1 Thotupala Canal 1","7.140332","80.793237","No anicut is available","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements","289,900"
"484-B","තොටුපළ ඇල 2 Thotupala Canal 2","7.140385","80.793251","Water is overflowing from the canal","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","305,362"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484-B","තොටුපළ ඇල 3 Thotupala Canal 3","7.140076","80.793523","Canal seepages to the D/S side (L-20m)","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","140,407"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484-B","Pathangamuwa canal (Galkotuwa canal)","7.142823","80.795582","Seepage losses from the canal","Clearing and Grubbing, Shrub and thorny jungle","652,384"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Removing silt from canal bed depth up to 9\" and canal clearing",
"484","ඕතැන්න ඇල Othenna canal","7.128029","80.801967","Canal seepages to the D/S side","Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","927,258"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","හුණුකොටුව ඇල Hunukotuwa canal","7.128079","80.801503","Canal is silted and water cannot be delivered","Removing silt from canal bed depth up to 9\"-18\"","262,189"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","උඩුපිටහ ඇල Udupitaha canal","7.128687","80.80445","The canal is not concreted","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","470,324"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","බෝධි ඇල Bodhi canal","7.132388","80.801563","Canal is silted because the soil in upper lands get eroded","Removing silt from canal bed depth up to 9\" and canal clearing","642,117"
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","හරිතට ඇල Harithata canal","7.130328","80.800834","Landsliding towards the D/S (L-8m) due to steep (80 degree) below the canal","Construction of 1.5m high x 0.15m thick RCC wall (0.8m base)","2,474,615"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","Watapitathenna canal",,,"Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","529,978"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","හිරිතට ඇල Hirithata canal","7.129963","80.801548","• Seepage towards the D/S (L-61m, 3 places) • Canal is silted","Construction of 48 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.5 m in average above the existing GL)","3,191,500"
"484","(ගොරකගහවත්ත) (Gorakahawatta)","7.130535","80.802341","The canal is not safe due to the absence of the reservation (L-60m)","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","593,723"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","දරාඩ ඇල Darada Ela","7.129477","80.804128","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","410,670"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","Wattakumbura-thenna canal","7.129628","80.803093","Bund erosion towards the Down Stream (L-8m)","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)","306,508"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","Wattakumbura-thenna canal",,,"Canal seepages to the D/S side (L-2000m)","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","828,247"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Total","85,895,760"
