No,GND No.,Name of the minor irrigation,Location N,Location E,Observed problems,Description,Amount (LKR) 
90,484,Hunukotuwa canal,7.128079,80.801503,Canal is silted and water cannot be delivered,"Removing silt from canal bed depth up to 9""-18""
Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","201,684"
91,484,Udupitaha canal,7.128687,80.80445, The canal is not concreted,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","361,788"
92,484,Bodhi canal,7.132388,80.801563, Canal is silted because the soil in upper lands get eroded,"Removing silt from canal bed depth up to 9"" and canal clearing 
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","493,936"
93,484,Harithata canal,7.130328,80.800834, Landsliding towards the D/S (L-8m) due to steep (80 degree) below the canal,"Construction of 1.5m high x 0.15m thick RCC wall (0.8m base) 
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,903,550"
94,484,Watapitathenna canal,,,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","407,675"
95,484,Hirithata canal,7.129963,80.801548,"• Seepage towards the D/S (L-61m, 3 places)
• Canal is silted",Construction of 48 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.5 m in average above the existing GL) ,"2,455,000"
96,484,(Gorakahawatta) ,7.130535,80.802341, The canal is not safe due to the absence of the reservation (L-60m) ,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","456,710"
97,484,Darada Ela,7.129477,80.804128,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","315,900"
98,484,Wattakumbura-thenna canal,7.129628,80.803093, Bund erosion towards the Down Stream (L-8m) ,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","235,775"
99,484,Wattakumbura-thenna canal,,, Canal seepages to the D/S side (L-2000m) ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","637,113"
,,,,,,Total ,"66,073,643"
